scalerank,featurecla,type,name,abbrev,location,gps_code,iata_code,natlscale,name_en,wdid_score,ne_id,X,Y
9,Airport,small,Sahnewal,LUH,terminal,VILD,LUH,8,Sahnewal Airport,4,1159113785,76.00,31.00
9,Airport,mid,Solapur,SSE,terminal,VASL,SSE,8,Solapur Airport,4,1159113803,76.00,18.00
9,Airport,mid,Birsa Munda,IXR,terminal,VERC,IXR,8,Birsa Munda Airport,4,1159113831,85.00,23.00
9,Airport,mid,Ahwaz,AWZ,terminal,OIAW,AWZ,8,Ahwaz International Airport,4,1159113845,49.00,31.00
9,Airport,mid and military,Gwalior,GWL,terminal,VIGR,GWL,8,Gwalior Airport,4,1159113863,78.00,26.00
9,Airport,mid,Hodeidah Int'l,HOD,terminal,OYHD,HOD,8,Hodeida International Airport,4,1159113883,43.00,15.00
9,Airport,mid,Devi Ahilyabai Holkar Int'l,IDR,terminal,VAID,IDR,8,Devi Ahilyabai Holkar Airport,4,1159113903,76.00,23.00
9,Airport,mid,Gandhinagar,ISK,ramp,VANR,ISK,8,Gandhinagar Airport,4,1159113917,74.00,20.00
9,Airport,major and military,Chandigarh Int'l,IXC,terminal,VICG,IXC,8,Chandigarh Airport,4,1159113937,77.00,31.00
9,Airport,mid,Aurangabad,IXU,terminal,VAAU,IXU,8,Aurangabad Airport,4,1159113953,75.00,20.00
9,Airport,mid and military,Faisalabad Int'l,LYP,terminal,OPFA,LYP,8,Faisalabad International Airport,4,1159113971,73.00,31.00
9,Airport,mid,Omsk Tsentralny,OMS,terminal,UNOO,OMS,8,Omsk Tsentralny Airport,4,1159113991,73.00,55.00
9,Airport,mid,Novosibirsk Tolmachev,OVB,terminal,UNNT,OVB,8,Tolmachevo Airport,4,1159114013,83.00,55.00
9,Airport,mid and military,Zaporozhye Int'l,OZH,runway,UKDE,OZH,8,Zaporizhzhia International Airport,4,1159114037,35.00,48.00
9,Airport,mid,Simpang Tiga,PKU,terminal,WIBB,PKU,8,Sultan Syarif Kasim II Airport,4,1159114047,101.00,
9,Airport,mid,Rota Int'l,ROP,terminal,PGRO,ROP,8,Rota International Airport,4,1159114063,145.00,14.00
9,Airport,mid,Surgut,SGC,terminal,USRR,SGC,8,Surgut International Airport,4,1159114081,73.00,61.00
9,Airport,mid,Tiruchirappalli,TRZ,terminal,VOTR,TRZ,8,Tiruchirapalli Airport,4,1159114099,79.00,11.00
9,Airport,mid,Turbat Int'l,TUK,terminal,OPTU,TUK,8,Turbat International Airport,4,1159114117,63.00,26.00
9,Airport,mid,Quetta Int'l,UET,terminal,OPQT,UET,8,Quetta International Airport,4,1159114135,67.00,30.00
9,Airport,mid,Zahedan Int'l,ZAH,terminal,OIZH,ZAH,8,Zahedan Airport,4,1159114153,61.00,29.00
9,Airport,mid and military,Abdul Rachman Saleh,MLG,ramp,WARA,MLG,8,Abdul Rachman Saleh Airport,4,1159114171,113.00,-8.00
9,Airport,mid,Barnaul,BAX,ramp,UNBB,BAX,8,Barnaul Airport,4,1159114187,84.00,53.00
9,Airport,military mid,Adampur,VIAX,runway,VIAX,,8,Adampur Air force base,5,1159114195,76.00,31.00
9,Airport,military,Bareilly,VIBY,runway,VIBY,,8,Bareilly Airport,4,1159114211,79.00,28.00
9,Airport,small,Dhamial,OPQS,runway,OPQS,,8,Dhamial Army Airbase,4,1159114231,73.00,34.00
9,Airport,major,Cheongju Int'l,CJJ,terminal,RKTU,CJJ,8,Cheongju International Airport,4,1159114253,127.00,37.00
9,Airport,mid and military,Gwangju,KWJ,terminal,RKJJ,KWJ,8,Gwangju Airport,4,1159114271,127.00,35.00
9,Airport,mid,Daegu Int'l,TAE,terminal,RKTN,TAE,8,Daegu International Airport,4,1159114289,129.00,36.00
9,Airport,mid,Ulsan,USN,terminal,RKPU,USN,8,Ulsan Airport,4,1159114319,129.00,36.00
9,Airport,mid,Radin Inten II,WIIT,terminal,WIAT,TKG,8,Radin Inten II Airport,4,1159114325,105.00,-5.00
9,Airport,military,Allahabad,IXD,ramp,VIAL,IXD,8,Allahabad Airport,4,1159114341,82.00,25.00
9,Airport,mid,Chelyabinsk,CEK,terminal,USCC,CEK,8,Chelyabinsk Airport,4,1159114359,62.00,55.00
8,Airport,military mid,Tainan,TNN,ramp,RCNN,TNN,10,Tainan Airport,4,1159114373,120.00,23.00
8,Airport,military mid,Taichung,RMQ,ramp,RCMQ,RMQ,10,Taichung Airport,4,1159114393,121.00,24.00
8,Airport,mid,Rotterdam The Hague,RTM,terminal,EHRD,RTM,10,Rotterdam The Hague Airport,4,1159114411,4.00,52.00
8,Airport,mid,Voronezh-Chertovitskoye,VOZ,terminal,UUOO,VOZ,10,Voronezh International Airport,4,1159114431,39.00,52.00
8,Airport,major,Liverpool John Lennon,LPL,ramp,EGGP,LPL,10,Liverpool John Lennon Airport,4,1159114447,-3.00,53.00
8,Airport,mid,Vishakapatnam,VTZ,terminal,VEVZ,VTZ,10,Visakhapatnam Airport,4,1159114465,83.00,18.00
8,Airport,major,Sultan Hasanuddin Int'l,UPG,terminal,WAAA,UPG,10,Sultan Hasanuddin International Airport,4,1159114481,120.00,-5.00
8,Airport,mid,Vava'u Int'l,VAV,terminal,NFTV,VAV,10,Vava'u International Airport,4,1159114497,-174.00,-19.00
8,Airport,major,Newcastle Int'l,NCL,terminal,EGNT,NCL,10,Newcastle Airport,4,1159114519,-2.00,55.00
8,Airport,mid,Goloson Int'l,LCE,terminal,MHLC,LCE,10,Golosón International Airport,4,1159114531,-87.00,16.00
8,Airport,major,Madinah Int'l,MED,terminal,OEMA,MED,10,Prince Mohammad Bin Abdulaziz Airport,4,1159114549,40.00,25.00
8,Airport,mid,Mirabel Int'l,YMX,terminal,CYMX,YMX,10,Montréal–Mirabel International Airport,4,1159114567,-74.00,46.00
8,Airport,mid,Palanga Int'l,PLQ,terminal,EYPA,PLQ,10,Palanga International Airport,4,1159114587,21.00,56.00
8,Airport,mid,Jaipur Int'l,JAI,terminal,VIJP,JAI,10,Jaipur Airport,4,1159114607,76.00,27.00
8,Airport,mid,Sonari,IXW,terminal,VEJS,IXW,10,Sonari Airport,4,1159114623,86.00,23.00
8,Airport,mid,Yenisehir,YEI,ramp,LTBR,YEI,10,Yenişehir Airport,4,1159114643,30.00,40.00
8,Airport,major,Şakirpaşa,ADA,terminal,LTAF,ADA,10,Adana Şakirpaşa Airport,4,1159114663,35.00,37.00
8,Airport,mid,Kodiak,ADQ,ramp,PADQ,ADQ,10,Kodiak Airport,4,1159114685,-152.00,58.00
8,Airport,major,Amarillo Int'l,AMA,terminal,KAMA,AMA,10,Rick Husband Amarillo International Airport,4,1159114695,-102.00,35.00
8,Airport,mid,Alice Springs,ASP,terminal,YBAS,ASP,10,Alice Springs Airport,4,1159114713,134.00,-24.00
8,Airport,mid and military,Raja Sansi Int'l,ATQ,terminal,VIAR,ATQ,10,Sri Guru Ram Dass Jee International Airport,4,1159114737,75.00,32.00
8,Airport,mid,Biju Patnaik,BBI,terminal,VEBS,BBI,10,Biju Patnaik Airport,4,1159114753,86.00,20.00
8,Airport,mid,Bethel,BET,runway,PABE,BET,10,Bethel Airport,4,1159114773,-162.00,61.00
8,Airport,mid,Palonegro,BGA,terminal,SKBG,BGA,10,Palonegro International Airport,4,1159114791,-73.00,7.00
8,Airport,major,Birmingham Int'l,BHM,terminal,KBHM,BHM,10,Birmingham-Shuttlesworth International Airport,4,1159114807,-87.00,34.00
8,Airport,mid,Broken Hill,BHQ,terminal,YBHI,BHQ,10,Broken Hill Airport,4,1159114825,141.00,-32.00
8,Airport,major,Logan Int'l,BIL,terminal,KBIL,BIL,10,Billings Logan International Airport,4,1159114843,-109.00,46.00
8,Airport,mid,Bismarck Muni.,BIS,terminal,KBIS,BIS,10,Bismarck Municipal Airport,4,1159114861,-101.00,47.00
8,Airport,mid,Del Bajio Int'l,BJX,terminal,MMLO,BJX,10,Del Bajío International Airport,4,1159114875,-101.00,21.00
8,Airport,mid,Benin,BNI,terminal,DNBE,BNI,10,Benin Airport,4,1159114893,6.00,6.00
8,Airport,major,Bourgas,BOJ,ramp,LBBG,BOJ,10,Burgas Airport,4,1159114899,28.00,43.00
8,Airport,major,Bremen,BRE,terminal,EDDW,BRE,10,Bremen Airport,4,1159114933,9.00,53.00
8,Airport,mid,Jacinto Lara Int'l,BRM,terminal,SVBM,BRM,10,Jacinto Lara International Airport,4,1159114957,-69.00,10.00
8,Airport,mid,Brownsville-South Padre Island Int'l,BRO,terminal,KBRO,BRO,10,Brownsville/South Padre Island International Airport,4,1159114971,-97.00,26.00
8,Airport,major,Bristol Int'l,BRS,terminal,EGGD,BRS,10,Bristol Airport,4,1159114989,-3.00,51.00
8,Airport,major,Baton Rouge Metro,BTR,terminal,KBTR,BTR,10,Baton Rouge Metropolitan Airport,4,1159115003,-91.00,31.00
8,Airport,major,Bratislava-M.R. Štefánik,BTS,terminal,LZIB,BTS,10,M. R. Štefánik Airport,4,1159115025,17.00,48.00
8,Airport,mid,Burlington Int'l,BTV,terminal,KBTV,BTV,10,Burlington International Airport,4,1159115045,-73.00,44.00
8,Airport,major,Columbia Metro,CAE,terminal,KCAE,CAE,10,Columbia Metropolitan Airport,4,1159115063,-81.00,34.00
8,Airport,major,Calicut Int'l,CCJ,terminal,VOCL,CCJ,10,Calicut International Airport,4,1159115083,76.00,11.00
8,Airport,mid,Cocos (Keeling) Islands,CCK,terminal,YPCC,CCK,10,Cocos,4,1159115105,97.00,-12.00
8,Airport,mid,Corfu Int'l (Ioannis Kapodistrias),CFU,terminal,LGKR,CFU,10,Corfu International Airport,4,1159115125,20.00,40.00
8,Airport,major,Changchun Longjia Int'l,CGQ,terminal,ZYCC,CGQ,10,Changchun Longjia International Airport,4,1159115151,126.00,44.00
8,Airport,major and military,Charleston Int'l,CHS,terminal,KCHS,CHS,10,Charleston International Airport,2,1159115179,-80.00,33.00
8,Airport,mid,Coimbatore,CJB,terminal,VOCB,CJB,10,Coimbatore Airport,4,1159115195,77.00,11.00
8,Airport,mid,Someseni,CLJ,ramp,LRCL,CLJ,10,Cluj International Airport,4,1159115215,24.00,47.00
8,Airport,mid,Ignacio Agramonte,CMW,terminal,MUCM,CMW,10,Ignacio Agramonte International Airport,4,1159115239,-78.00,21.00
8,Airport,major,Casper/Natrona County Int'l,CPR,terminal,KCPR,CPR,10,Casper–Natrona County International Airport,4,1159115255,-106.00,43.00
8,Airport,major,Clark Int'l,CRK,ramp,RPLC,CRK,10,Clark International Airport,2,1159115281,121.00,15.00
8,Airport,major and military,Yeager,CRW,terminal,KCRW,CRW,10,Yeager Airport,4,1159115293,-82.00,38.00
8,Airport,major,Catania Fontanarossa,CTA,terminal,LICC,CTA,10,Catania-Fontanarossa Airport,4,1159115313,15.00,37.00
8,Airport,mid,Chetumal Int'l,CTM,terminal,MMCM,CTM,10,Chetumal International Airport,4,1159115333,-88.00,19.00
8,Airport,major,Cardiff,CWL,terminal,EGFF,CWL,10,Cardiff Airport,4,1159115353,-3.00,51.00
8,Airport,mid,Gerrard Smith,CYB,terminal,MWCB,CYB,10,Charles Kirkconnell International Airport,4,1159115383,-80.00,20.00
8,Airport,mid,Cozumel Int'l,CZM,terminal,MMCZ,CZM,10,Cozumel International Airport,4,1159115401,-87.00,21.00
8,Airport,major,James M. Cox Dayton Int'l,DAY,terminal,KDAY,DAY,10,Dayton International Airport,4,1159115417,-84.00,40.00
8,Airport,mid,Dubbo,DBO,approximate,YSDU,DBO,10,Dubbo City Airport,4,1159115439,149.00,-32.00
8,Airport,major,Washington Nat'l,DCA,terminal,KDCA,DCA,10,Ronald Reagan Washington National Airport,4,1159115459,-77.00,39.00
8,Airport,mid,Durango Int'l,DGO,terminal,MMDO,DGO,10,General Guadalupe Victoria International Airport,4,1159115479,-105.00,24.00
8,Airport,mid,Voloskoye,DNK,terminal,UKDD,DNK,10,Dnipropetrovsk International Airport,4,1159115501,35.00,48.00
8,Airport,major,Donetsk,DOK,terminal,UKCC,DOK,10,Donetsk International Airport,4,1159115513,38.00,48.00
8,Airport,mid,Santa Bernardina Int'l,DZO,runway,SUDU,DZO,10,Santa Bernardina International Airport,4,1159115539,-56.00,-33.00
